norma;data;obs;tam_cp;tam_min;arena;orgao
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;Gabinete Civil
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;Gabinete Militar
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;I - Conselho de Segurança Nacional.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;II - Serviço Nacional de Informações.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;III - Estado-Maior das Fôrças Armadas.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;IV - Departamento Administrativo do Pessoal Civil.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;V - Consultoria Geral da República.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;presidencial;VI - Alto Comando das Fôrças Armadas.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Justiça.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério das Relações Exteriores.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério do Planejamento e Coordenação Geral.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Fazenda.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério dos Transportes.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Agricultura.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Indústria e do Comércio.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério das Minas e Energia.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério do Interior.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Educação e Cultura.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério do Trabalho e Previdência Social.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Saúde.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério das Comunicações.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Marinha.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério do Exército.
Decreto-Lei 200/1967;25/02/1967;Será pesquisado e preenchido posteriormente.;8;16;ministerial;Ministério da Aeronáutica.
LEI No 6.036, DE 1º DE MAIO DE 1974;01/05/1974;Será pesquisado e preenchido posteriormente.;9;16;presidencial;Gabinete Civil
